Numbers,Bubble,Insert,Selection
100,0.000997543,0.000998259,0.00099659
150,0.000997543,0.000996828,0
200,0.001994133,0.000997543,0.00096965
250,0.002990484,0.001993179,0.00196791
300,0.003988504,0.001994371,0.00299025
350,0.004985094,0.003989458,0.00401402
400,0.009972334,0.007977009,0.00501847
450,0.016952276,0.007975578,0.00598383
500,0.01197052,0.010970354,0.00601482
550,0.012995005,0.008977413,0.00897551
600,0.016954422,0.011967182,0.00997305
650,0.018975735,0.018948793,0.01196718
700,0.023944378,0.019946814,0.01396203
750,0.023933887,0.017951965,0.01598358
800,0.046874523,0.031913519,0.01795149
850,0.061833858,0.022968769,0.01994753
900,0.059838533,0.02593112,0.02184558
950,0.042885303,0.033907413,0.0249331
1000,0.047869444,0.031914711,0.0279541
1500,0.142618656,0.088762045,0.06186604
2000,0.224364281,0.141622066,0.10774302
2500,0.432843447,0.212431669,0.17164111
3000,0.496671438,0.307290792,0.2624352
3500,0.923529863,0.434898376,0.33719683
4000,0.890618086,0.58743,0.4380765
4500,1.173857212,0.73114419,0.55160904
5000,1.449230671,0.933503628,0.68156171
5500,1.995662212,1.075124741,0.83579516
6000,2.400577784,1.268716097,0.99044037
6500,2.396590948,1.482231379,1.15408349
7000,2.755913019,1.768460751,1.33457732
7500,3.378963709,2.055603027,1.61568189
8000,3.468916178,2.342200279,1.74460888
8500,3.957735538,2.630322695,2.01388407
9000,4.211736679,2.908611536,2.19659472
9500,4.339583397,3.289539337,2.67618322
10000,5.458432913,3.642569304,2.88877225
15000,10.71926856,8.117896795,6.7041316
20000,20.68087339,14.57313299,11.0085237
25000,29.56521297,23.72947145,19.0822568
30000,44.24721575,31.99920082,24.9740231
35000,58.05943394,43.83207226,35.0726502
40000,81.98486114,56.84939981,44.6739535
45000,97.93665552,71.68356419,60.9227569
50000,120.7093675,87.99399662,69.0485048
55000,139.4779294,106.9897153,84.9709287
60000,166.5621514,129.3774974,100.178256
65000,205.5062904,151.6040714,120.993841
70000,250.772892,183.17222,142.151809
75000,296.7913136,205.7087629,157.560248
80000,320.6192765,233.4039934,179.818219
85000,356.2825279,265.8129921,203.414849
90000,381.7761261,304.2000763,232.00166
95000,454.8818362,335.0058913,255.184472
100000,523.2444198,376.945169,283.710736